@yuta_fmsRab	2016-05-16 17:55:47	始まるぅ！ #EP演習 pic.twitter.com/cI0rHlTIVY
@dau_59	2016-05-16 17:56:16	発表するときツイッター名言って()#EP演習
@saraha_fms	2016-05-16 17:56:27	一瞬だけ覗きにきた #EP演習
@Sy_At_H	2016-05-16 17:56:31	一番手きました！！！！！！！igrs研！！！！！！！！　#EP演習
@Ken3_fms	2016-05-16 17:56:59	始まるぞーっ！#EP演習 pic.twitter.com/0qjo6Fu95u
@FungiMetalSyoko	2016-05-16 17:57:05	今からMINDがうんちになるから覚悟しとこうね #EP演習
@nnnk7777	2016-05-16 17:57:13	暗い #EP演習
@0334nicole	2016-05-16 17:57:19	1番譲りました #EP演習
@ik__mm	2016-05-16 17:57:40	#EP演習4番となりました
@pxjsvt_fms	2016-05-16 17:58:00	一日目の人頑張って！！！#EP演習
@pxjsvt_fms	2016-05-16 17:58:33	２日目なのに緊張してきた#EP演習
@od_bird	2016-05-16 17:58:38	来たぞ〜　#EP演習
@0334nicole	2016-05-16 17:58:44	1番の子かなり自信あるみたいです僕は2番です #EP演習
@nnnk7777	2016-05-16 17:58:51	最終日やだー #EP演習
@kbysyt_MU	2016-05-16 17:58:56	始まりそう #EP演習
@Fairies_IT	2016-05-16 17:59:14	今日の2班#EP演習
@mkk_fms	2016-05-16 17:59:32	#EP演習 1日目たのしみ〜〜〜〜〜〜〜〜〜〜〜〜〜〜 pic.twitter.com/53AKHLt1wu
@phyver620	2016-05-16 17:59:34	FMSの1年生の皆さん頑張ってください #EP演習
@od_bird	2016-05-16 17:59:38	発表は早くやったもん勝ちなとこはある　#EP演習
@admn_fms	2016-05-16 17:59:44	2年なのに緊張してきた #EP演習
@fms_panda	2016-05-16 18:00:01	2日目, 3日目は煽られる #EP演習
@fms_sabu	2016-05-16 18:00:15	#EP演習 はーじまーるよー pic.twitter.com/4szi4zU1TD
@Fairies_IT	2016-05-16 18:00:16	初日でよかったと全力で思う#EP演習
@piyox2_fms	2016-05-16 18:00:16	どきどきわくわく #EP演習
@nagistars_fms	2016-05-16 18:00:27	1年の発表会に４年含めたかなりの人数の上級生が来る学部もここ以外あるまい　#EP演習
@yukaloemymelo	2016-05-16 18:03:51	はくしゅ#EP演習
@FungiMetalSyoko	2016-05-16 18:03:51	発表後はアカウント名やプロフィールにどのプログラムを発表したかを記しておくと、後で「あっこいつアレの人か」ってなるのでお勧め #EP演習
@7th_FMS	2016-05-16 18:03:54	始まった！！ #EP演習
@Fairies_IT	2016-05-16 18:03:54	1番目ですごいのかまされたら困る　#EP演習
@fms_eraser	2016-05-16 18:03:57	始まった！ #EP演習
@ryunryunryun_	2016-05-16 18:04:00	始まった #EP演習
@Magic_Gancelot	2016-05-16 18:04:01	はじまた #EP演習
@sdvx_yuki_fms	2016-05-16 18:04:01	スタート！！！！！#EP演習
@fms_panda	2016-05-16 18:04:05	始まるぞー！ #EP演習
@tkd_phydes	2016-05-16 18:04:07	始まりましたね!!#EP演習
@0522Kishikishi	2016-05-16 18:04:08	#EP演習 始まったぞ！
@matatsuna	2016-05-16 18:04:11	やるぞ！！#EP演習
