@satoon_dz14	2016-05-27 18:48:56	EP演習3日目楽しみ〜 #EP演習
@taizosorry	2016-05-28 00:54:31	あー  #EP演習 3日目楽しみダナー(棒
@matatsuna	2016-05-29 21:15:02	いよいよ明日(5/30)の18:00~21:00 #EP演習 最終日が行われます！三週間に渡って行われてきたFMSのお祭りも最後日となりますので、爆発的に急増することが見込まれます。ご了承ください。発表の人は最後の追い込み頑張ってください！！
@FungiMetalSyoko	2016-05-30 11:27:06	やっぱり飛び込みません。某1年の発表と思いっきりネタがかぶったので、このネタでは場を盛り上げられないと判断しました。戦略的撤退です。 #EP演習
@piyox2_fms	2016-05-30 17:47:36	発表、マ〜！？ #EP演習
@mayo_nekoneko	2016-05-30 17:51:14	きっつ #EP演習
@suzu_118_710	2016-05-30 17:51:17	BGM安定のスプラトゥーン#EP演習
@rider_maru	2016-05-30 17:52:15	スプラットゥーン#EP演習
@mayo_nekoneko	2016-05-30 17:52:25	3日目勢の体調が心配ちなみに僕は緊張で #だめです #EP演習
@hitomikan_53	2016-05-30 17:52:34	スプラトゥーン流れててうれしい #EP演習
@gihwan0906	2016-05-30 17:53:23	マジでしょぼいので笑う準備を#EP演習
@nagistars_fms	2016-05-30 17:54:41	待機　#EP演習
@Utsuhology	2016-05-30 17:55:23	うるさくします #EP演習
@nouchinow	2016-05-30 17:55:24	いかいかいかいかいかいかいかいかいかいかいかいか　#EP演習
@mkw9977	2016-05-30 17:55:58	セーラー服のJKが来てる可愛い #EP演習
@7th_FMS	2016-05-30 17:59:31	今日人多い。 #EP演習
@mayo_nekoneko	2016-05-30 17:59:33	緊張で吐きそう#EP演習
@hakase_I	2016-05-30 17:59:39	これから21時くらいまでミュート推奨垢になります#EP演習
@Fairies_IT	2016-05-30 17:59:39	１週間経ってもちんあなごに飽きてない #EP演習
@taizosorry	2016-05-30 17:59:41	いよいよ明日が #EP演習 本番ですよ！ むっちゃドキドキしてきた…。 3週目の皆さん、今日くらいは勉強は休んで明日に備えますよね？
@dau_59	2016-05-30 17:59:52	皆勤賞#EP演習
@nouchinow	2016-05-30 18:00:08	ちんあなごから一週間は草　#EP演習
@koichi39120_jik	2016-05-30 18:00:22	18:00やでーーーー  #EP演習
@oboburas	2016-05-30 18:00:31	緊張してきた… #EP演習
@sunny_mnh1608	2016-05-30 18:00:41	始まるぞー#EP演習
@turtley_fms	2016-05-30 18:37:50	うぜぇw#EP演習
@matatsuna	2016-05-30 18:37:51	カーソル合わせた時に動くのいい。#EP演習
@yoh_fms	2016-05-30 18:37:52	みなさんご確認下さい、これが女子力です。　#EP演習
@satoon_dz14	2016-05-30 18:37:52	ウザい手越   #EP演習
@Ken3_fms	2016-05-30 18:37:52	手越wwwwwwwwwwwwwwwwww #EP演習
@mkk_fms	2016-05-30 18:37:53	手越wwww#EP演習
@Fairies_IT	2016-05-30 18:37:53	うっざい手越くん #EP演習
@fms_eraser	2016-05-30 18:37:54	名言 #EP演習
@knt800_run	2016-05-30 18:37:55	アマゾンでこの子買えるの？笑　#EP演習
@fokkofms	2016-05-30 18:37:56	てごしｗ　#EP演習
@fms_sabu	2016-05-30 18:37:56	うぜぇ#ep演習
@hasuki_hnni	2016-05-30 18:37:57	クリックするたびに別の画面開いてるのかな #EP演習
@sakashun623	2016-05-30 18:37:59	ジャニヲタにすらウザいと言われる手越 #EP演習
@As2Ca_fms	2016-05-30 18:38:00	手越wwww#EP演習
@pxjsvt_fms	2016-05-30 18:38:00	うん。うざいねww#ep演習
@room__402	2016-05-30 18:38:05	嵐ファンの手越dis #EP演習
@yoh_fms	2016-05-30 18:38:06	MJｗｗｗｗ　みなさんご確認下さい、これが女子力です。　#EP演習
@2n_75	2016-05-30 18:38:06	MJボタンw#EP演習
